# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTOPTA_SUFI_4610;That's nice, I guess.;C'est bien, je suppose.;Das ist ganz nett, denke ich.;;Está bien, supongo.;;;;;;;;;x
EVTOPTB_SUFI_4610;Let us celebrate its glory! I'm paying!;Célébrons sa gloire ! Je paie !;Lasst uns zu Ehren des Reliktes feiern! Ich übernehme die Kosten!;;¡Celebremos esta gloria! ¡Invito yo!;;;;;;;;;x
EVTOPTB_SUFI_4610_TT;This will likely please everyone in the order.\n;Ceci plaira à quiconque faisant partie de l'ordre.\n;Dies dürfte allen Mitgliedern des Ordens gefallen.\n;;Esto probablemente agradará a toda la orden.\n;;;;;;;;;x
EVTOPTC_SUFI_4610;It should be mine!;Elle devrait être mienne !;Es sollte mir gehören!;;¡Será mía!;;;;;;;;;x
# EVTDESC_SUFI_4611;Having decided that the relic would be much better 'safeguarded' in my own hands, I must now tackle the task of how to 'liberate' it from the confines of the monastery. I can think of a few different paths to take...;Ayant décidé que la relique serait mieux « protégée » de mes propres mains, je dois maintenant aborder la tâche de la « libérer » des confins du monastère. Je pense à plusieurs façons de procéder...;Nachdem ich den Beschluss gefasst habe, dass das Relikt in meinem Besitz wesentlich sicherer aufgehoben wäre, muss ich nun einen Weg finden, es aus den Fängen des Klosters zu "befreien". Ich habe auch schon die ein oder andere Idee ...;;"Tras decidir que la reliquia estaría mucho mejor "protegida" en mi posesión, ahora debo emprender la tarea de "liberarla" de los muros del monasterio. Se me ocurren varias opciones...";;;;;;;;;x
EVTOPTA_SUFI_4611;Grab it and RUN!;La prendre et COURIR !;Abwarten, einstecken, wegrennen!;;¡La coges y corres!;;;;;;;;;x
EVTOPTA_SUFI_4611_TT;Though bold and simple, simply waiting for nobody to be looking and then running as fast as possible is not likely to result in success...\n;Bien qu'audacieux et simple, attendre que personne ne regarde et courir aussi vite que possible est peu susceptible de conduire à un succès...\n;Obwohl der Plan klar definiert ist und durch seine Geradlinigkeit besticht, dürften die Erfolgsaussichten nicht gerade rosig sein ...\n;;Aunque es audaz y atrevido, esperar a que nadie esté mirando para luego salir corriendo lo más rápido posible no creo que dé resultado...\n;;;;;;;;;x
# EVTOPTB_SUFI_4611;Bribe the Abbot.;Soudoyer l'abbé.;Den Abt bestechen.;;Sobornas al abad.;;;;;;;;;x
# EVTOPTB_SUFI_4611_TT;Bribing the Abbot to ensure nobody is around would be almost guaranteed to succeed. He is, however, just as guaranteed to have a high price...\n;Soudoyer l'abbé pour s'assurer que personne ne soit autour serait presque une garantie de réussite. Cependant, il est tout aussi sûr que ce sera un prix élevé...\n;Würde man den Abt bestechen, hätte man garantiert freie Bahn. Ebenso garantiert scheint jedoch, dass der Abt ein erkleckliches Sümmchen für seine Mithilfe erwarten würde ...\n;;Sobornar al abad para asegurarse de que nadie esté cerca sería un éxito casi garantizado. Sin embargo, está igual de garantizado que el precio será alto...\n;;;;;;;;;x
EVTOPTC_SUFI_4611;Play a trick on everyone.;Jouer un tour à tout le monde.;Sie allesamt austricksen.;;Engañas a todo el mundo.;;;;;;;;;x
EVTOPTC_SUFI_4611_TT;Using your superior sense of subterfuge you might stand a decent chance at successfully taking the relic without anyone noticing.\n;En utilisant votre sens supérieur du subterfuge, vous pourriez avoir une chance décente de réussir à prendre la relique sans que personne ne s'en aperçoive.\n;Aufgrund Eures besonderen Talents auf dem Gebiet der Heimlichtuerei scheint es nicht ausgeschlossen, dass Ihr es schaffen könntet, das Relikt zu stehlen, ohne dass irgendwer etwas davon mitbekommt.\n;;Si utilizas tu gran capacidad de disimulo, podrías tener una gran probabilidad de llevarte la reliquia sin que nadie se dé cuenta.\n;;;;;;;;;x
EVTOPTD_SUFI_4611;I will ask my lover to help me!;Je vais demander à mon amant[monastic_artifact_lover.GetNoneE] de m'aider !;Ich werde meine Liebschaft fragen!;;Le pides a tu amante que te ayude.;;;;;;;;;x
EVTOPTD_SUFI_4611_TT;The power of love always succeeds! ...right?\n;Le pouvoir de l'amour l'emporte toujours ! Pas vrai ?\n;Die Macht der Liebe ist in allen Bereichen unschlagbar! ... oder nicht?\n;;La fuerza del amor siempre triunfa... ¿verdad?\n;;;;;;;;;x
EVTDESC_SUFI_4614;Deep in the night I have snuck down to the relic's chamber. Adrenaline pumps through my veins as I take hold of the priceless artifact, savoring the feeling of it in my hands... But suddenly I hear the sound of footsteps and turn around to find [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] looking at me with wide eyes!;Au milieu de la nuit, je suis descendu[Root.GetNoneE] dans la pièce de la relique. Je sens mon coeur battre alors que je saisis l'artefact inestimable, en savourant le plaisir de l'avoir dans mes mains... Mais soudain, j'entends un bruit de pas et je me retourne pour trouver [monastic_artifact_witness.Get_le_SocietyRank][monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] me regardant les yeux grands ouverts !;Mitten in der Nacht schlich ich mich hinunter zur Kammer, in der das Relikt aufbewahrt wird. Das Adrenalin durchströmt meine Venen, als ich das unbezahlbare Artefakt in den Händen halte, und diesen Moment möchte ich auskosten. – Dann höre ich Schritte und als ich mich umdrehe, sehe ich [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName], [monastic_artifact_witness.Getderdie] mich mit weiten Augen anstarrt!;;En mitad de la noche me he colado en la cámara de la reliquia. La adrenalina me recorre las venas mientras tomo el valioso artefacto, sintiendo su tacto en mis manos... Pero de repente, oigo el sonido de unos pasos. ¡Al darme la vuelta, me he encontrado a [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] mirándome con los ojos muy abiertos!;;;;;;;;;x
EVTOPTA_SUFI_4614;You have caught me... I submit to the order's judgment.;Vous m'avez attrapé[Root.GetNoneE]... Je me soumets au jugement de l'ordre.;Man hat mich erwischt ... nun muss ich mich dem Urteil des Ordens unterwerfen.;;Me has descubierto... Me someto al juicio de la orden.;;;;;;;;;x
EVTOPTA_SUFI_4614_TT;Surrender to §Y[monastic_artifact_witness.GetTitledFirstName]§! and do public penance to atone for your actions.\n;Se rendre et se repentir publiquement pour expier vos actes.\n;Ergebt Euch und tut öffentlich Buße als Wiedergutmachung für Eure Verfehlungen.\n;;Te rindes ante §Y[monastic_artifact_witness.GetTitledFirstName]§! y haces penitencia para pagar por tus actos.\n;;;;;;;;;x
EVTOPTB_SUFI_4614;Use their surprise to make a break for it!;Utiliser l'effet de surprise pour vous échapper !;Nutzt das Moment der Überraschung, um die Beine in die Hand zu nehmen!;;¡Aprovecha su sorpresa para tratar de escapar!;;;;;;;;;x
EVTOPTB_SUFI_4614_TT;You're sure you can escape, however, this will upset your Brothers and Sisters greatly, and your time with the order will certainly end... Forever.\n;Vous êtes sûr[Root.GetNoneE] de pouvoir vous échapper, mais cela contrariera vos frères et sœurs grandement, et votre temps dans l'ordre sera révolu.\n;Mit Sicherheit wird Euch die Flucht gelingen, aber dies würde Eure Brüder und Schwestern derart gegen Euch aufbringen, dass man Euch aus dem Orden ausschließen dürfte, und zwar für immer.\n;;Tienes la certeza de que podrás escapar, pero defraudarás enormemente a tus hermanos y hermanas, y tu estancia en la orden se acabará para siempre.\n;;;;;;;;;x
EVTOPTC_SUFI_4614;Leave no witnesses!;Ne pas laisser de témoins !;Keine Zeugen!;;¡No dejes testigos!;;;;;;;;;x
EVTDESC_SUFI_4619;I have done it! I have the relic and there is not a scratch on me! I have covered my tracks as best I can. Nobody seems to suspect it was I who killed [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] and took the artifact.;J'y suis parvenu ! J'ai la relique et je n'ai pas une égratignure ! J'ai effacé mes traces autant que j'ai pu. Personne ne semble soupçonner que c'est moi qui ai tué [monastic_artifact_witness.Get_le_SocietyRank][monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] et qui ai pris l'artefact.;Ich habe es geschafft! Ich habe das Relikt und selbst nicht einmal einen Kratzer abbekommen! Meine Spuren habe ich so gut wie möglich verwischt. Niemand wird mich als den Mörder von [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] oder als den Dieb verdächtigen.;;¡Lo he logrado! ¡Tengo la reliquia y he salido indemne! He eliminado mis pistas lo mejor que he podido. Nadie parece sospechar que fui yo quien mató a [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] y se llevó el artefacto.;;;;;;;;;x
EVTOPTA_SUFI_4619;It had to be done.;Cela devait être fait.;Es musste getan werden.;;Hice lo que debía.;;;;;;;;;x
EVTDESC_SUFI_4620;I have done it! I have the relic and only suffered a minor scratch in the scuffle. It will heal in time, and I even managed to hide it from my Brothers and Sisters.;J'y suis parvenu ! J'ai la relique et je m'en sors avec une égratignure qui guérira avec le temps. J'ai même réussi à cacher mon acte à mes frères et sœurs.;Ich habe es geschafft! Ich habe das Relikt und selbst auch nur einen kleinen Kratzer abbekommen. Dieser wird bald verheilt sein und es ist mir sogar gelungen, ihn vor meinen Brüdern und Schwestern zu verbergen.;;¡Lo he logrado! Tengo la reliquia y solo he salido con un rasguño de la refriega. Con el tiempo se curará, e incluso he logrado ocultárselo a mis hermanos y hermanas.;;;;;;;;;x
EVTOPTA_SUFI_4620;Good, but... Ow!;C'est une bonne chose, mais... Aïe !;Gut, aber ... Autsch!;;Bien, pero... ¡Ay!;;;;;;;;;x
EVTDESC_SUFI_4621;I have the relic, but it almost literally cost me an arm and a leg... I was lucky to only have lost what I did, and even more so that everyone seemed to believe the tale I spun of bravely fighting off the 'unknown thief'.;J'ai la relique, mais cela m'a presque littéralement coûté un bras et une jambe... J'ai eu de la chance, surtout que tout le monde a semblé croire le récit que j'ai donné, à savoir que j'ai bravement lutté contre le « voleur inconnu ».;Ich habe das Relikt, aber beinahe hätte es mich buchstäblich einen Arm und ein Bein gekostet. Zum Glück ist mir nicht noch mehr passiert und ein noch größeres Glück ist, dass man mir mein Märchen darüber, wie ich mich tapfer dem "unbekannten Dieb" entgegenwarf, abzukaufen scheint.;;"Tengo la reliquia, pero podría haberme salido caro... He tenido suerte de perder lo que perdí, sobre todo porque todos se han creído el cuento que solté sobre mi enfrentamiento contra ese "ladrón desconocido".";;;;;;;;;x
EVTOPTA_SUFI_4621;I'm not sure this was a good trade...;Je ne sais pas si c'était un bon échange...;Ob das wirklich ein so guter Handel war ...?;;No sé si he salido ganando...;;;;;;;;;x
EVTDESC_SUFI_4622;As I dash towards [monastic_artifact_witness.GetHerHim], [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] does not seem to be as surprised as I took [monastic_artifact_witness.GetHerHim] for! Swiftly [monastic_artifact_witness.GetSheHe] draws a blade, and as I wrestle [monastic_artifact_witness.GetHerHim] to the ground I feel the cold metal sink in my chest...;Alors que je me précipite vers [monastic_artifact_witness.GetLuiElle], [monastic_artifact_witness.Get_le_SocietyRank][monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] ne semble pas être aussi surpris[monastic_artifact_witness.GetNoneE] que je le pensais ! [monastic_artifact_witness.GetIlElleCap] sort rapidement une lame, et alors que je [monastic_artifact_witness.GetLeLa] terrasse, je sens le métal froid s'enfoncer dans ma poitrine...;Als ich auf [monastic_artifact_witness.GetHerHim] zustürme, wirkt [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] weniger überrascht, als ich angenommen hatte! Im Nu zieht er einen Dolch und als ich [monastic_artifact_witness.GetHerHim] zu Boden ringe, fühle ich kalten Stahl, erst auf und dann auch in meiner Brust ...;;¡Cuando me lanzo hacia [monastic_artifact_witness.GetHerHim], [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] no parece sorprenderse tanto como yo creía que lo haría! Rápidamente, saca una hoja, y cuando lo/la tiro contra el suelo, siento el frío metal hundirse en mi pecho.;;;;;;;;;x
EVTOPTA_SUFI_4622;Noooooooooooo!;Nooooooooon !;Neiiiiiin!;;¡Noooooooooooo!;;;;;;;;;x
EVTDESC_SUFI_4615;I have done it! I have the relic, and shook off my pursuer. But [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] saw me blatantly steal the artifact, and so my life in the order is certainly forfeit...;J'y suis parvenu ! J'ai la relique, et semé m[monastic_artifact_witness.GetOnA] poursuivant[monastic_artifact_witness.GetNoneE]. Mais [monastic_artifact_witness.Get_le_SocietyRank][monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] m'a vu en train de voler l'artefact, et donc ma vie de membre de l'ordre est certainement finie...;Ich habe es geschafft! Ich habe das Relikt und konnte meinen Verfolger abschütteln. Aber [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] hat gesehen, dass ich das Artefakt ganz offensichtlich gestohlen habe, und meine Tage als Mitglied des Ordens sind definitiv gezählt ...;;¡Lo he hecho! Tengo la reliquia, y me he librado de mi perseguidor/a, pero [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] me vio robar el artefacto descaradamente, por lo que mi vida en la orden se ha acabado para siempre.;;;;;;;;;x
EVTOPTA_SUFI_4615;Details, details!;Mais ce ne sont que des détails !;Details, Details!;;¡Detalles, detalles!;;;;;;;;;x
EVTDESC_SUFI_4616;Deep in the night I have snuck down to the relic's chamber. Adrenaline pumps through my veins as I take hold of the priceless artifact... But suddenly I hear the sound of footsteps and turn around to find my lover [monastic_artifact_lover.GetTitledFirstName] keep [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] distracted, allowing me to make my escape unnoticed!;Au milieu de la nuit, je suis descendu[Root.GetNoneE] dans la pièce de la relique. Je sens mon coeur battre alors que je saisis l'artefact inestimable, en savourant le plaisir de l'avoir dans mes mains... Mais soudain, j'entends un bruit de pas et je me retourne pour trouver mon amant[monastic_artifact_lover.GetNoneE] [monastic_artifact_lover.Get_le_Title][monastic_artifact_lover.GetTitledFirstName] gardant [monastic_artifact_witness.Get_le_SocietyRank][monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] occupé[monastic_artifact_witness.GetNoneE], permettant de rendre mon évasion inaperçue !;Mitten in der Nacht schlich ich mich hinunter zur Kammer, in der das Relikt aufbewahrt wird. Das Adrenalin durchströmt meine Venen, als ich das unbezahlbare Artefakt in den Händen halte. Dann höre ich Schritte und als ich mich umdrehe, sehe ich, dass meine Liebschaft [monastic_artifact_lover.GetTitledFirstName] [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] ablenkt, was mir die Gelegenheit verschafft, unbemerkt zu verschwinden!;;En mitad de la noche me he colado en la cámara de la reliquia. La adrenalina me recorre las venas mientras tomo el valioso artefacto, sintiendo su tacto en mis manos... Pero de repente, oigo el sonido de unos pasos. ¡Al darme la vuelta, me he encontrado a mi amante [monastic_artifact_lover.GetTitledFirstName] distrayendo al/a la [monastic_artifact_witness.GetSocietyRank] [monastic_artifact_witness.GetFirstName] para que yo pudiera escaparme!;;;;;;;;;x
EVTOPTA_SUFI_4616;Love DOES always win!;L'amour vaincra toujours !;Die Liebe ist eben doch unschlagbar!;;¡El amor SIEMPRE triunfa!;;;;;;;;;x
EVTDESC_SUFI_4617;My plan went flawlessly! Not a single soul saw or heard me during the night, and it was not ere daybreak that the theft was discovered. Nobody suspects it was I!;Mon plan a été impeccable ! Pas une seule âme ne m'a vu ou entendu pendant la nuit, et ce n'est pas avant le lever du jour que le vol a été découvert. Personne ne soupçonne que c'était moi !;Mein Plan ging auf wie am Schnürchen! Keine Menschenseele hörte mich und erst am Morgen wurde der Diebstahl bemerkt. Niemand hat mich im Verdacht!;;¡Mi plan ha salido a pedir de boca! Ni un alma me vio ni me oyó durante la noche, y el robo no se descubrió hasta que amaneció. ¡Nadie sospecha que fui yo!;;;;;;;;;x
EVTOPTA_SUFI_4617;I am the best!;Je suis [Root.GetLeLa] meilleur[Root.GetNoneE] !;Ich bin eben einfach unschlagbar!;;¡Soy insuperable!;;;;;;;;;x
# EVTDESC_SUFI_4618;My offer of funding a celebration of the relic was well-received, and has heightened my standing in the eyes of my Brothers and Sisters! For many days we sang, prayed and paraded the holy relic around the nearby villages. Donations to the monastery have increased greatly! All in all, it was a tremendous success.;Mon offre de financement d'une célébration de la relique a été bien reçue, et a amélioré ma réputation auprès de mes frères et sœurs! Pendant de nombreux jours, nous avons chanté, prié et fait défiler la relique sainte autour des villages voisins. Les dons au monastère ont considérablement augmenté ! C'est un énorme succès.;Mein Vorschlag, eine Feier zu Ehren des Relikts zu veranstalten, fand ein positives Echo, und ich bin im Ansehen meiner Brüder und Schwestern gestiegen! Viele Tage lang veranstalteten wir Prozessionen und Messen in den umliegenden Dörfern. Auch die Spenden ans Kloster sind sprunghaft angestiegen. Alles in allem war es ein großartiger Erfolg!;;Mi oferta de financiar una celebración para la reliquia fue bien recibida, ¡y ha aumentado mi reputación a ojos de mis hermanos y hermanas! Durante muchos días cantamos, oramos y desfilamos con la reliquia sagrada por los pueblos cercanos. ¡Las donaciones al monasterio han aumentado muchísimo! Se puede decir que fue un éxito rotundo.;;;;;;;;;x
EVTOPTA_SUFI_4618;Well worth the money!;Cela valait vraiment le coup !;Es war das Geld wert!;;¡Un dinero muy bien gastado!;;;;;;;;;x
EVTDESC_SUFI_4624;To [Root.GetTitledFirstName],\n\nI know it was you who murdered [monastic_artifact_witness.GetTitledFirstName] and who took our prized relic. As soon as I have the necessary proof, I shall expose you to the order!\n\nSigned,\n[monastic_artifact_blackmailer.GetSocietyRank] [monastic_artifact_blackmailer.GetFirstName];[Root.GetTitledFirstName],\n\nJe sais que vous avez tué [monastic_artifact_witness.Get_le_Title][monastic_artifact_witness.GetTitledFirstName] et pris notre précieuse relique. Dès que j'aurai les preuves nécessaires, je vous dénoncerai à l'ordre !\n\nSigné,\n[monastic_artifact_blackmailer.GetSocietyRank] [monastic_artifact_blackmailer.GetFirstName];[Root.GetTitledFirstName],\n\nich weiß, dass Ihr [monastic_artifact_witness.GetTitledFirstName] auf dem Gewissen habt, und ich weiß auch, wer unser kostbares Relikt gestohlen hat. Sobald ich stichhaltige Beweise habe, werde ich dem Orden Eure Taten melden!\n\nGezeichnet, [monastic_artifact_blackmailer.GetSocietyRank] [monastic_artifact_blackmailer.GetFirstName];;[Root.GetTitledFirstName]:\n\nSé que fuiste tú quien mató a [monastic_artifact_witness.GetTitledFirstName] y se llevó nuestra preciada reliquia. En cuanto reúna las pruebas necesarias, ¡te delataré a la orden!\n\nFirmado:\n[monastic_artifact_blackmailer.GetSocietyRank] [monastic_artifact_blackmailer.GetFirstName];;;;;;;;;x
EVTOPTA_SUFI_4624;Bribe [monastic_artifact_blackmailer.GetHerHim]!;[monastic_artifact_blackmailer.GetLeLaCap] soudoyer !;Bestecht [monastic_artifact_blackmailer.GetHerHim]!;;¡Ofrece un soborno!;;;;;;;;;x
EVTOPTB_SUFI_4624;Allow [monastic_artifact_blackmailer.GetHerHim] the honor of returning the artifact, and buy [monastic_artifact_blackmailer.GetHerHis] silence!;Lui laisser l'honneur de rapporter l'artefact, et acheter son silence !;Erlaubt [monastic_artifact_blackmailer.Getihmihr] die Ehre, das Artefakt zurückzubringen und kauft [monastic_artifact_blackmailer.GetHerHis] Stillschweigen!;;Otórgale el honor de devolver el artefacto y compra su silencio.;;;;;;;;;x
EVTOPTC_SUFI_4624;Keep it, regardless!;La garder malgré tout.;Ihr könnt es behalten!;;¡Consérvala de todos modos!;;;;;;;;;x
EVTOPTC_SUFI_4624_TT;Your Brothers and Sisters will undoubtedly be extremely displeased, and your time with the order will certainly end... Forever.\n;Vos frères et sœurs seront extrêmement mécontents, et votre temps avec l'ordre est sans doute révolu...\n;Eure Brüder und Schwestern werden sicherlich äußerst ungehalten sein und Eure Tage als Mitglied des Ordens werden ein jähes Ende nehmen ... für immer.\n;;Tus hermanos y hermanas se sentirán enormemente defraudados, y tu estancia en la orden se acabará para siempre.\n;;;;;;;;;x
EVTDESC_SUFI_4626;I found out that my lover, [monastic_artifact_lover.GetTitledFirstName], could not bear the shame of being incriminated in my theft of the artifact, and rather stepped out of life than face [monastic_artifact_lover.GetHerHis] Brothers and Sisters any longer.;J'ai appris que mon amant[monastic_artifact_lover.GetNoneE] [monastic_artifact_lover.Get_le_Title][monastic_artifact_lover.GetTitledFirstName] n'a pas pu supporter la honte d'être incriminé[monastic_artifact_lover.GetNoneE] dans mon vol de l'artefact, et a préféré mettre fin à ses jours plutôt qu'affronter ses frères et sœurs.;Ich fand heraus, dass meine Liebschaft, [monastic_artifact_lover.GetTitledFirstName], die Schande, am Diebstahl des Artefakts beteiligt gewesen zu sein, nicht ertragen konnte, und sich lieber das Leben nahm, als noch einen Tag länger mit den Brüdern und Schwestern des Ordens zusammenzuleben.;;He averiguado que mi amante, [monastic_artifact_lover.GetTitledFirstName], no podía seguir soportando la culpa por mi robo del artefacto, y ha preferido quitarse de en medio a tener que seguir mirando a sus hermanos y hermanas a la cara.;;;;;;;;;x
EVTOPTA_SUFI_4626;Oh no... My dear §Y[monastic_artifact_lover.GetFirstName]§!!;Oh non... M[monastic_artifact_lover.GetOnA] ch[monastic_artifact_lover.GetErEre] §Y[monastic_artifact_lover.GetFirstName]§! !;Oh, nein ... geliebte[monastic_artifact_lover.GetrMale] §Y[monastic_artifact_lover.GetFirstName]§!!;;Oh, no... ¡Mi entrañable §Y[monastic_artifact_lover.GetFirstName]§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_seamless_robe_of_jesus;Start planning the theft of the §YSeamless Robe of Jesus§!!;Planifier le vol de la §YTunique de Jésus§! !;Beginnt mit der Planung zum Raub des §YHeiligen Rocks§!!;;¡Empieza a preparar el robo de la §Ysanta túnica de Jesús§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_crown_of_thorns;Start planning the theft of the §YCrown of Thorns§!!;Planifier le vol de la §YCouronne d'épines§! !;Beginnt mit der Planung zum Raub der §YDornenkrone§!!;;¡Empieza a preparar el robo de la §Ycorona de espinas§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_fragment_of_true_cross;Start planning the theft of the §YFragment of the True Cross§!!;Planifier le vol d'un §YFragment de la Vraie Croix§! !;Beginnt mit der Planung zum Raub des §YSplitters des Heiligen Kreuzes§!!;;¡Empieza a preparar el robo del §Yfragmento de la santa cruz§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_holy_foreskin;Start planning the theft of the §YHoly Prepuce§!!;Planifier le vol du §Ysaint prépuce§! !;Beginnt mit der Planung zum Raub der §YHeiligen Vorhaut§!!;;¡Empieza a preparar el robo del §Ysanto prepucio§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_image_of_edessa;Start planning the theft of the §YImage of Edessa§!!;Planifier le vol de l'§YImage d'Édesse§! !;Beginnt mit der Planung zum Raub des §YBilds von Edessa§!!;;¡Empieza a preparar el robo de la §Yimagen de Edesa§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_elaborate_danda;Start planning the theft of the §YJeweled Danda§!!;Planifier le vol du §YDanda orné de pierreries§! !;Beginnt mit der Planung zum Raub des §YJuwelenbesetzten Danda§!!;;¡Empieza a preparar el robo del §YDanda enjoyado§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_sariraka_actual_body_part;Start planning the theft of the §YSariraka Bone§!!;Planifier le vol de l'§Yos de Sariraka§! !;Beginnt mit der Planung zum Raub des §YSarirakaknochens§!!;;¡Empieza a preparar el robo del §Yhueso Sariraka§!!;;;;;;;;;x
EVTOPTC_SUFI_4610_sarira;Start planning the theft of the §YSarira§!!;Planifier le vol des §YSarira§! !;Beginnt mit der Planung zum Raub des §YSarira§!!;;¡Empieza a preparar el robo de la §YSarira§!!;;;;;;;;;x
EVTDESC_SUFI_4022;Blessed [Root.GetSocietyRank] [Root.GetFirstName].\n\nWe are pleased to hear that you have safely returned from your pilgrimage, and trust that it has been an inspiring experience for you.\nSigned [From.GetSocietyRank] [From.GetFirstName];[Root.GetSocietyRank] [Root.GetFirstName].\n\nNous sommes heureux d'apprendre que vous êtes revenu[Root.GetNoneE] sain[Root.GetNoneE] et sau[Root.GetFVe] de votre pèlerinage, et nous espérons que cela a été une expérience inspirante pour vous.\nSigné [From.GetSocietyRank] [From.GetFirstName];Seid gesegnet, [Root.GetSocietyRank] [Root.GetFirstName],\n\nes freut uns zu hören, dass Ihr wohlbehalten von Eurer Pilgerreise zurückgekehrt seid, und wir vertrauen darauf, dass sie inspirierend für Euch gewesen ist.\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetSocietyRank] [Root.GetFirstName]:\n\nNos complace saber que has regresado a salvo de tu peregrinación, y confiamos en que haya sido una experiencia inspiradora para ti.\nFirmado: [From.GetSocietyRank][From.GetOnlyDynastyName];;;;;;;;;x
EVTOPT_SUFI_4022;Praise [Root.Religion.GetHighGodNameCap]!;Louons [Root.Get_le_HighGod][Root.Religion.GetHighGodName] !;Gepriesen sei [Root.Religion.GetHighGodNameCap]!;;¡Alabado sea [Root.Religion.GetHighGodNameCap]!;;;;;;;;;x
EVTOPT_SUFI_4026;All in the name of [Root.Religion.GetHighGodNameCap]!;C'est en l'honneur [Root.Get_du_HighGod][Root.Religion.GetHighGodName] !;Alles im Namen von [Root.Religion.GetHighGodNameCap]!;;¡Todo en el nombre de [Root.Religion.GetHighGodNameCap]!;;;;;;;;;x
EVTDESC_SUFI_4399;I have abandoned my attempt to better myself in seclusion, and have rejoined the world around me.;J'ai abandonné ma tentative de me dépasser en réclusion, et j'ai rejoint le monde autour de moi.;Ich habe meinen Versuch aufgegeben, mich in aller Abgeschiedenheit zu bessern, und mich wieder der Welt um mich herum angeschlossen.;;He abandonado la idea de mejorar como persona mediante el aislamiento y me he reincorporado al mundo que me rodea.;;;;;;;;;x
EVTOPTA_SUFI_4399;I am good enough as it is.;Je suis déjà assez bo[Root.GetNNne].;Ich bin so, wie ich bin, gut genug.;;Me acepto tal y como soy.;;;;;;;;;x
EVTOPTA_SUFI_4405_tt_success;dealing with vice by practicing it moderately without getting noticed.\n;gère le vice en restant dans la modération sans se faire remarquer.\n;bekämpft Laster durch seine Ausübung in Maßen, ohne dass es auffällt.\n;;combatir el vicio practicándolo con moderación sin que te descubran.\n;;;;;;;;;x
EVTOPTA_SUFI_4405_tt_fail;attempting to practice the vice moderately, but it is not quite enough to restore focus.;essaie de modérer le vice, mais cela ne suffit pas à maintenir l'objectif.;versucht, dem Laster in Maßen zu frönen, doch das genügt nicht gänzlich, um die Konzentration wiederzuerlangen.;;tratar de practicar el vicio con moderación, pero no basta para recuperar la concentración.;;;;;;;;;x
EVTOPTB_SUFI_4405_tt_success;overcoming the vice for good.\n;vainc le vice pour de bon.\n;entsagt dem Laster für immer.\n;;superar el vicio para siempre.\n;;;;;;;;;x
