#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
tribal_organization_1_desc;Chiefs have limited power over their vassals.;Les chefs ont un pouvoir limité sur leurs vassaux.;Häuptlinge haben beschränkte Macht über ihre Vasallen.;;Los jefes tienen un poder limitado sobre sus vasallos.;;;;;;;;;x
tribal_organization_2_desc;The power of vassals and liege chiefs are somewhat balanced.;Les pouvoirs des vassaux et de leurs seigneurs sont plutôt équilibrés.;Die Macht von Vasallen und Häuptlings-Lehnsherrn ist einigermaßen ausgeglichen.;;El poder de los vasallos y el de los señores feudales están equilibrados.;;;;;;;;;x
tribal_organization_3_desc;Chiefs are gaining in power over their vassals.;Les chefs gagnent de l'influence sur leurs vassaux.;Die Macht der Häuptlinge über ihre Vasallen nimmt zu.;;Los jefes están ganando poder sobre sus vasallos.;;;;;;;;;x
tribal_organization_4_desc;Chiefs have control over their vassals, with laws similar to that of feudal lords.;Les chefs ont le contrôle de leurs vassaux, les lois sont comparables à celles des seigneurs féodaux.;Häuptlinge kontrollieren ihre Vasallen mit Gesetzen, die jenen der feudalen Fürsten gleichen.;;Los jefes tienen control sobre sus vasallos, con leyes parecidas a las de los señores feudales.;;;;;;;;;x
adopt_feudalism;Adopt Feudalism;Adopter le féodalisme;Feudalsystem einführen;;Adoptar de ser Feudal;;;;;;;;;x
adopt_republicanism;Found Merchant Republic;Fonder une république marchande;Handelsrepublik gründen;;Fundar una República Mercante;;;;;;;;;x
adopt_feudalism_desc;I can choose to leave behind my tribal way of life and become a Feudal ruler.;Je peux choisir d'abandonner nos mœurs tribales et de devenir un souverain féodal.;Ich kann meine Stammestradition hinter mir lassen und ein feudaler Herrscher werden.;;Puedo escoger abandonar mi estilo de vida tribal y convertirme en un gobernante Feudal.;;;;;;;;;x
adopt_republicanism_desc;I can choose to leave behind my tribal way of life and found a Merchant Republic.;Je peux choisir d'abandonner nos mœurs tribales et de fonder une république marchande.;Ich kann meine Stammestradition hinter mir lassen und eine Handelsrepublik gründen.;; Puedo escoger abandonar mi estilo de vida tribal y fundar una República Mercante.;;;;;;;;;x
adopt_feudalism_tooltip_1;Government changed to Feudal.\n;Le gouvernement est désormais féodal.\n;Die Regierungsform wurde zu Feudalherrschaft geändert.\n;;El gobierno ha cambiado a Feudal.\n;;;;;;;;;x
adopt_feudalism_tooltip_2;Any tribal settlement with a fully upgraded §YHillfort§! is upgraded to a castle.;Toute colonie possédant un §Yfort de colline§! devient un château.;Jede Stammessiedlung mit voll ausgebauter §YHügelfestung§! wird zur Burg aufgewertet.;;Cualquier asentamiento tribal con un §Ycastro§! plenamente desarrollado, asciende a castillo.;;;;;;;;;x
adopt_republicanism_tooltip_1;Government changed to Merchant Republic.\n;Le gouvernement est désormais une république marchande.\n;Die Regierungsform wurde zu Handelsrepublik umgewandelt.\n;;El gobierno cambió a República Mercante.\n     ;;;;;;;;;x
adopt_republicanism_tooltip_2;Any tribal settlement with a fully upgraded §YMarket Town§! is upgraded to a city.;Toute colonie possédant une §Yville marchande§! devient une cité.;Jede Stammessiedlung mit voll ausgebautem §YMarktstädtchen§! wird zur Stadt aufgewertet.;;Cualquier asentamiento tribal con una §YCiudad Comercial§! plenamente desarrollada, asciende a metrópoli.;;;;;;;;;x
form_new_kingdom_requirement_tooltip;Hold 3 duchy titles\n;Détient 3 titres de duché\n;Besitzt 3 Herzogtitel\n;;Sustentar 3 títulos de ducados\n;;;;;;;;;x
form_new_empire_requirement_tooltip;Hold 3 kingdom titles\n;Détient 3 titres de royaume\n;Besitzt 3 Königstitel\n;;Sustentar 3 títulos de reinos\n;;;;;;;;;x
EVTDESC8027;For too long you have restricted our historic rights and liberties. The time has come to decrease the level of Tribal Organization - you must submit to this demand peacefully or face the consequences! Rest assured that I have the support of others who are equally determined to see things returned to the natural order...\n\nSigned,\n[From.GetTitledName];Trop longtemps vous avez limité nos droits et nos libertés historiques. Il est temps de réduire le niveau d'organisation tribale. Vous devez vous soumettre pacifiquement à cette exigence ou en subir les conséquences ! Soyez assuré que je bénéficie du soutien d'autres chefs tout aussi déterminés à voir les choses retrouver leur ordre naturel...\n\nSigné,\n[From.GetTitledName];Zu lange schon beschränkt Ihr schon unsere historischen Rechte und Freiheiten. Nun ist es an der Zeit für weniger Stammes-Organisation - fügt Euch unseren Forderungen oder Ihr werdet die Konsequenzen tragen. Seid versichert, dass ich Gleichgesinnte um mich geschart habe, die ebenfalls entschlossen sind, die Rückkehr zur natürlichen Ordnung herbeizuführen ...\n\nGezeichnet,\n[From.GetTitledName];;La corona ha restringido nuestras libertades y derechos históricos durante demasiado tiempo. ¡Es el momento de disminuir la Organización Tribal! Accede a esta demanda pacíficamente o asume las consecuencias. No tengas dudas de que he reunido a otros que también están disgustados...\n\nSignado,\n[From.GetTitledName];;;;;;;;;x
AIREASON_ENVIOUS;Envious;Envieux;Neidisch;;Envidioso;;;;;;;;;x
FE_LOAD;Load;Charger;Laden;Wczytaj;Charger;Caricare;Betöltés;Nahrát;;;;;;x
PLAY;Play;Jouer;Start;;Jugar;Gioca;;;;;;;;x
AIREASON_DOESNT_CARE;[GetTitledFirstName] doesn't care;[GetTitledFirstName] ne s'en soucie guère;[GetTitledFirstName] interessiert es nicht;;[GetTitledFirstName] no se importa;;;;;;;;;x
AIREASON_KIND;Kind;Bon;Gütig;;Amable;;;;;;;;;x
AIREASON_CRUEL;Cruel;Cruel;Grausam;;Cruel;;;;;;;;;x
AIREASON_JUST;Just reason;Raisonnable;Gerechte Sache;;Causa justa;;;;;;;;;x
AIREASON_WROTH;Angry;Colérique;Wütend;;Enfadado;;;;;;;;;x
TRIBALS_CANT_BUILD_HOLDINGS;§YTribes Cannot Build new Holdings§!;§YLes tribus ne peuvent pas construire de nouveaux domaines§!;§YStämme können keine neuen Besitztümer gründen§!;; Tribus No Puede Construir Nuevos Asentamientos;;;;;;;;;x
TRIBALS_CANT_BUILD_HOLDINGS_DESC;Empty Holding slots actually provide more troops for Tribes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.);Les domaines inutilisés procurent en fait des troupes aux tribus. Pour construire de véritables domaines, vous devez devenir un État féodal ou une république (consultez le menu des Décisions).;Leere Besitztumsfelder liefern faktisch sogar mehr Truppen für die Stämme. Um normale Besitztümer bauen zu können, müsst Ihr entweder ein feudaler Staat oder eine Republik werden (Menü: Entscheidungen).;;Los Dominios o Propiedades vacantes pueden proporcionar más tropas para las Tribus. Para construir Dominios apropiados, necesitas convertirte en un estado feudal o en una república (revisa tus Decisiones.);;;;;;;;;x
vassal_zun_judgement_decision;Have [Root.GetTitledFirstName] judged by Zun;Faire juger [Root.GetTitledFirstName] par Zun;Lasst Zun ein Urteil über [Root.GetTitledFirstName] fällen;; Hacer juzgar a [Root.GetTitledFirstName] por Zun;;;;;;;;;x
vassal_zun_judgement_decision_desc;By having [Root.GetTitledFirstName] thrown into a pit in the middle of the desert, he shall be exposed to Zun for days and will be most likely given the 'justice' that he deserves.;En faisant jeter [Root.GetTitledFirstName] dans un puits au beau milieu du désert, vous le soumettrez au jugement de Zun pendant plusieurs jours. Il recevra alors la 'justice' qu'il mérite.;Indem wir [Root.GetTitledFirstName] in einer Grube mitten in der Wüste schmachten lassen, wo er tagelang Zun ausgesetzt sein wird, dürfte ihm die 'Gerechtigkeit' zuteil werden, die er verdient.;;Habiendo arrojado a [Root.GetTitledFirstName] en un pozo en medio del desierto, estará expuesto a Zun durante días y obtendrá, más probablemente, la “justicia” que se merece.;;;;;;;;;x
EVTDESCCM15002;The guards visited me today, they merely tossed down a rope I hope I have the strength to climb.;Les gardes sont venus me voir aujourd'hui. Ils n'ont fait que me lancer une corde. J'espère que j'aurai la force de remonter.;Die Wachen besuchten mich heute und warfen mir einfach ein Seil zu. Ich hoffe, ich habe noch die Kraft zu klettern.;;Hoy los guardias han venido a verme, se han limitado a tirarme una cuerda. Espero tener la fuerza para poder subir.;;;;;;;;;x
EVTOPTACM15002;Oh sweet freedom!;Que c'est bon d'être libre !;Oh, süße Freiheit!;;¡Oh, dulce libertad!;;;;;;;;;x
EVTDESCCM15004;The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.;Les rayons du soleil transpercent ma peau, elle craque et saigne, je me sens partir, j'ai l'impression que je commence à sortir de ce puits en flottant dans l'air.;Die Strahlen der Sonne dringen in meine Haut ein, sie reißt und blutet und ich spüre, wie ich dahinschwinde, fast als ob ich aus dieser Grube entschweben würde.;;The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.;;;;;;;;;x
EVTOPTACM15004;Is this how I die?;Vais-je mourir ainsi ?;So soll ich sterben?;; ¿Es así como muero?;;;;;;;;;x
EVTDESCCM15005;Who's there, who are you? I can hear you but can't touch you? P-Please help me I can hear you just outside the pit please i'm begging you.!;Qui est là ? Qui êtes-vous ? Je vous entends mais je ne peux pas vous toucher ! Je vous en prie, aidez-moi à sortir de ce puits, je vous en supplie !;Wer ist da, wer seid Ihr? Ich kann Euch hören, aber nicht ertasten. B-Bitte helft mir. Ich höre Euch doch. Ihr seid draußen, vor der Grube! Bitte! Ich flehe Euch an!;;¿Quién está ahí? ¿Quién eres?¿Puedo oírte pero no te puedo tocar? P-Por favor ayúdeme, puedo oírte justo fuera del pozo. ¡Por favor, te lo suplico!;;;;;;;;;x
EVTOPTACM15005;Was that a person leaning over the edge, or a figment of my imagination!;Ai-je bien vu quelqu'un se pencher au bord du puits ? Ou était-ce mon imagination ?;Lehnte sich da gerade jemand hinab oder war das nur meine Einbildung?;;¡Era eso una persona reclinada sobre el límite, o fue producto de mi imaginación!;;;;;;;;;x
EVTDESCCM15006;As I lie in the pit hoping for salvation yet another day I realize that none will come. Has I been forsaken? No that can't be it! I must keep believing, its the only thing I have left.;Couché dans ce puits à espérer qu'on me vienne en aide, je comprends soudain que personne ne viendra. Ai-je été abandonné ? Non ! C'est impossible ! Je dois continuer à croire. C'est tout ce qu'il me reste.;Nach einem weiteren Tag in der Grube wird mir klar, dass niemand kommen wird. Hat man mich im Stich gelassen? Nein, das kann nicht sein! Ich darf den Glauben nicht aufgeben. Er ist das einzige, was mir noch bleibt.;;Mientras yazgo en el pozo esperando la salvación durante otro día, me doy cuenta que no vendrá nadie. ¿Me han abandonado? ¡No, esto no puede ser! Necesito tener esperanza, es lo único que me queda.;;;;;;;;;x
EVTOPTACM15006;It's a test from [God] I will show my faith, I will prove myself worthy to be a servant to [God].;[God] me met à l'épreuve, je lui prouverai que je suis digne d'être son serviteur !;Es ist eine Prüfung von [God] und ich werde beweisen, dass mein Glaube unerschütterlich ist. Ich bin ein würdiger Diener von [God].;;Es una prueba de [God]. Mostraré mi fe, voy a demostrar que soy digno de ser un siervo de [God].;;;;;;;;;x
EVTDESCCM15007;On my back, staring up at the sun beating down upon me. This pit is torture, the heat scratches my skin like a thousand tiny blades I hope for salvation, I hope for freedom, I hope that my captors will release me but deep down I'm starting to realise...;Allongé sur le dos, je regarde le soleil qui frappe ma peau. Cette fosse est une torture. Le soleil perce ma peau comme un millier de lames minuscules. J'espère le salut. J'espère la liberté. J'espère que mes ravisseurs me libèreront, mais au plus profond de moi, je commence à comprendre...;Ich liege auf dem Rücken und starre nach oben, wo die Sonne auf mich hinabbrennt. Diese Grube ist eine Folter. Die Hitze ritzt meine Haut wie Tausende kleine Klingen. Ich sehne mich nach Erlösung, ich hoffe noch auf Freiheit, doch tief in mir beginne ich zu verstehen, dass ...;;Boca arriba, miro el sol cayendo a plomo sobre mí. Este pozo es una tortura, el calor araña mi piel como un millar de diminutas cuchillas. Deseo la salvación, deseo la libertad, espero que mis captores me liberen, pero en el fondo estoy empezando a darme cuenta de que...;;;;;;;;;x
EVTOPTACM15007;The only one that can release me from this torture, from the unbearable heat is my new overlord Zun!;Le seul qui peut me sauver de cette torture, de cette chaleur insupportable, c'est mon nouveau maître, Zun !;Der Einzige, der mich von dieser Folter, dieser unerträglichen Hitze erlösen kann, mein neuer Meister Zun ist!;;¡El único que puede liberarme de esta tortura, del calor insoportable, es mi nuevo señor supremo  Zun!;;;;;;;;;x
CANNOT_PLAY_CHARLEMANGE_BOOKMARK_WITHOUT_DLC;Charlemagne DLC Required;Contenu téléchargeable Charlemagne requis;Charlemagne DLC benötigt;;Se necesita la extensión DLC Carlomagno;;;;;;;;;x
CANNOT_PLAY_TOG_BOOKMARK_WITHOUT_DLC;The Old Gods DLC Required;Contenu téléchargeable Old Gods requis;The Old Gods DLC benötigt;;Se necesita la expansión DLC Dioses Antiguos;;;;;;;;;x
frisian;Frisian;Frison;Friesisch;; Frisón;;;;;;;;;x
tribal_duke_frisian;High Chief;Haut Chef;Großhäuptling;;Grand Chef;;;;;;;;;x
tribal_duke_female_frisian;High Chieftess;Haute Cheftaine;Großhäuptling;;Grand cheftaine;;;;;;;;;x
tribal_duchy_of_frisian;High Chiefdom of;Haute Chefferie de;Großhäuptlingstum von;;Grande chefferie de;;;;;;;;;x
viking_age_cb_tooltip;Characters of Germanic religion now get new CB:s.;Les personnages de religion germanique ont désormais un nouveau casus belli.;Charaktere germanischer Religionen erhalten nun neue Kriegsgründe.;;Ahora los personajes de la religión germánica consiguen nuevos CB:s;;;;;;;;;x
tb_war_camp_1;War Camp;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_2;War Camp;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_3;War Camp;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_4;War Camp;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_desc;This is where the tribal warriors gather to hone their skills in preparation for times of war.;C'est ici que les guerriers tribaux s'entraînent en préparation de la guerre.;Hier sammeln sich die Stammeskrieger, um in Vorbereitung auf den Krieg ihre Kampfkünste zu verbessern.;;Aquí es donde los guerreros tribales se reúnen para perfeccionar sus habilidades para los tiempos de guerra.;;;;;;;;;x
tb_practice_range_1;Practice Range;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_2;Practice Range;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_3;Practice Range;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_4;Practice Range;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_desc;The tribal archers meet here to compete and to practice their marksmanship skills.;Les archers tribaux se rendent ici pour s'affronter et s'entraîner.;Hier versammeln sich die Bogenschützen des Stammes, um ihre Zielsicherheit zu verbessern.;;Los arqueros tribales se encuentran aquí para competir y practicar su puntería.;;;;;;;;;x
d_pskov;Pskov;Pskov;Pskow;;Pskov;;;;;;;;;x
d_kola;Kola;Kola;Kola;;Kola;;;;;;;;;x
d_kola_adj;Kolan;Kolan;Kolaner;;Kola;;;;;;;;;x
expel_zun_warriors;Expel the Knights of the Sun;Expulser les Chevaliers du Soleil;Vertreibt die Ritter der Sonne;;Expulsar a los Caballeros del Sol;;;;;;;;;x
donate_money_to_zun_warriors;Donate 300¤ to the Knights of the Sun;Donner 300¤ aux Chevaliers du Soleil;Spendet den Rittern der Sonne 300¤;;Donar 300€ a los Caballeros del Sol;;;;;;;;;x
expel_zun_warriors_desc;I can drive the Knights of the Sun from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser les Chevaliers du Soleil de mon territoire et prendre possession de leurs châteaux. Ce serait par contre un acte très impie...;Ich kann die Ritter der Sonne aus dem Land jagen und ihre Burgen beschlagnahmen. Allerdings wäre das leider nicht sehr fromm ...;;Puedo manejar a los Caballeros del Sol de mi reino y arrebatarles sus castillos. No obstante, eso sería una acción muy impía...;;;;;;;;;x
donate_money_to_zun_warriors_desc;I can donate money to the Knights of the Sun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;Je peux donner de l'argent aux Chevaliers du Soleil en échange de [Player.Religion.GetPietyName] et du respect permanent des prêtres.;Ich kann den Rittern der Sonne Geld spenden, um [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft zu erhalten.;;Puedo donar dinero a los Caballeros del Sol a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
d_haruriyyah;Haruriyyah;Haruriyyah;Haruriyyah;;Haruriyyah;;;;;;;;;x
d_haruriyyah_adj;Haruriyyah;Haruriyyah;Haruriyyah;;Haruriyyah;;;;;;;;;x
expel_haruriyyah;Expel the Haruriyyah;Expulser les Haruriyyah;Vertreibt die Haruriyyah;;Expulsar a los Haruriyyah;;;;;;;;;x
donate_money_to_haruriyyah;Donate 300¤ to the Haruriyyah;Donner 300¤ aux Haruriyyah;Spendet den Haruriyyah 300¤;;Donar 300€ a los Haruriyyah;;;;;;;;;x
expel_haruriyyah_desc;I can drive the Haruriyyah from my realm and seize their castles. However, it is a very impious thing to do...;Je peux expulser les Haruriyyah de mon territoire et prendre possession de leurs châteaux. Ce serait par contre un acte très impie...;Ich kann die Haruriyyah aus dem Land jagen und ihre Burgen beschlagnahmen. Allerdings wäre das leider nicht sehr fromm ...;;Puedo manejar a los Haruriyyah de mi reino y arrebatarles sus castillos. No obstante, eso sería una acción muy impía...;;;;;;;;;x
donate_money_to_haruriyyah_desc;I can donate money to the Haruriyyah in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.;Je peux donner de l'argent aux Haruriyyah en échange de [Player.Religion.GetPietyName] et du respect permanent du clergé.;Mit einer Geldspende an die Haruriyyah kann ich [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft erlangen.;;Puedo donar dinero a los Haruriyyah a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
expelled_d_zun_warriors;Expelled the Knights of the Sun;Chevaliers du Soleil expulsés;Die Ritter der Sonne wurden vertrieben;;Caballeros del Sol expulsados;;;;;;;;;x
expelled_d_haruriyyah;Expelled the Haruriyyah;Haruriyyah expulsés;Die Haruriyyah wurden vertrieben;;Los Haruriyyah expulsados;;;;;;;;;x
EVTDESC_CM_4399;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Priesthood. Rest assured that you will be rewarded in Heaven, if not on Earth!\nPraise [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName];Votre Altesse, ce don des plus généreux ne sera pas oublié. Recevez mon amitié ainsi que celle du clergé. Vivez avec l'assurance que vous obtiendrez récompense au paradis, si ce n'est en ce bas monde !\nGloire à [Root.Religion.GetRandomGodName],\n\n[From.GetFirstName];Eure Hoheit, diese äußerst großzügige Spende wird unvergessen bleiben! Ihr verdient meine Freundschaft wie auch die aller Priester! Seid versichert, dass Ihr im Himmel belohnt werdet, wenn nicht schon auf Erden! \nLob sei [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName];;Su Alteza, esta donación extremadamente generosa no quedará en el olvido. Tiene mi amistad, así como la del Clero. Tened la certeza de que seréis recompensados en el Paraíso, ¡si no en la Tierra!\n Alabado sea [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTOPTA_CM_4399;Praised be [Root.Religion.GetRandomGodName].;Gloire à [Root.Religion.GetRandomGodName] !;Gepriesen sei [Root.Religion.GetRandomGodName].;;Alabado sea [Root.Religion.GetRandomGodName].;;;;;;;;;x
OVERWRITE_HOLDING;Build a new Holding and destroy the tribal settlement;Construire un nouveau domaine et détruire la colonie tribale;Neues Besitztum bauen und Siedlung des Stammes zerstören;;Construir una nueva Propiedad y destruir el asentamiento tribal.;;;;;;;;;x
borrowed_from_haruriyyah;Owes 300¤ to the Haruriyyah;Doit 300¤ aux Haruriyyah;Schuldet den Haruriyyah 300¤;;Debe 300€ a los Haruriyyah;;;;;;;;;x
EVTDESC_CM_4303;Peace be upon you, most magnificent [Root.GetTitledFirstName]. As you may know, our order is in need of leaders, and, considering your debt to us, I would like to request that your able and noble son [FromFrom.GetFirstName] serve in our ranks. Naturally, this would disinherit him. Allah be with you,\n\n[From.GetTitledName];La paix soit avec vous, très magnifique [Root.GetTitledFirstName]. Comme vous le savez peut-être, notre ordre a besoin de chefs et, considérant votre dette envers nous, j'aimerais présenter l'opportunité à votre noble et talentueux fils [FromFrom.GetFirstName] de servir dans nos rangs. Naturellement, cette décision le déshériterait. Qu'Allah vous garde.\n\n[From.GetTitledName];Friede sei mit Euch, Eure Erhabenheit. Wie Ihr vielleicht wisst, benötigt unser Orden Anführer und angesichts der Schulden, die Ihr bei uns habt, möchte ich darum bitten, dass Euer tapferer und edler Sohn [FromFrom.GetFirstName] in unseren Reihen diene. Natürlich würde ihn das von der Erbfolge ausschließen. Allah sei mit Euch!\n\n[From.GetFirstName];;Que la paz esté contigo, el más magnífico [Root.GetTitledFirstName]. Como seguramente sabes, nuestra orden necesita líderes y, considerando la deuda contraída con nosotros, me gustaría solicitar que tu hábil y noble hijo [FromFrom.GetFirstName] sirva en nuestras filas. Naturalmente, esto lo desheredaría. Que Alá esté contigo,\n\n[From.GetTitledName];;;;;;;;;x
EVTTITLE_CM_4309;The Haruriyyah;Les Haruriyyah;Die Haruriyyah ;;Los Haruriyyah;;;;;;;;;x
EVTDESC_CM_4309;A new order of Muslim warriors has been founded, claiming descent from the old Haruri traditions and swearing to protect Islam and combat infidels and polytheists of all kinds. It was a Haruri who killed the Caliph Ali with a poisoned sword since they saw him as corrupting Islam, and this new group now vows to show the same courage and detemination in fighting any enemies of the true faith. They call themselves simply 'The Haruriyyah'.;Un nouvel ordre de guerriers musulmans est fondé. Ils disent descendre des anciennes traditions haruri et ont juré de protéger l'Islam et de combattre les infidèles et les polythéistes de toutes sortes. C'est un haruri qui a tué le calife Ali avec une épée empoisonnée car il le considérait comme un corrupteur de l'Islam. ce nouveau groupe a fait serment de montrer le même courage et la même détermination dans sa lutte contre contre les ennemis de la vraie foi. Ils se font appeler les Haruriyyah.;Ein neuer Orden muslimischer Krieger wurde gegründet, der sich auf alte Haruri-Traditionen beruft und schwört, den Islam zu schützen sowie Ungläubige und Götzenanbeter aller Art zu bekämpfen. Ein Haruri war es, der Kalif Ali mit einer vergifteten Klinge ermordete, als sie dachten, er beschädige das Ansehen des Islam. Diese neue Gruppe schwört nun, so mutig und entschlossen wie ihre Vorläufer die Feinde des wahren Glaubens zu bekämpfen. Ihr Name ist schlicht 'Haruriyyah'.;;Se ha fundado una nueva orden de guerreros musulmanes, se proclaman descendientes de las antiguas tradiciones Haruri, y juran proteger el Islam y combatir infieles y politeístas de toda clase. Fue un haruri quien mató al Califa Alí con una espada envenenada, puesto que a su entender corrompía el Islam. Este nuevo grupo ahora promete mostrar el mismo coraje y determinación en la lucha contra todo enemigo de la verdadera fe. Se autodenominan simplemente “Los Haruriyyah”.;;;;;;;;;x
EVTOPTA_CM_4309;I am sure we can make use of them.;On peut certainement leur trouver une utilité.;Mit Sicherheit können sie uns nützlich sein.;;Estoy seguro de que podemos usarlos;;;;;;;;;x
EVTOPTB_CM_4309;Poisoned swords? Hmm...;Des épées empoisonnées ? Hmm...;Vergiftete Klingen? Hmm ...;;¿Espadas envenenadas? Mmm...    ;;;;;;;;;x
EVTDESC_CM_4311;Most righteous [Root.GetTitledFirstName], of course we, the Haruriyyah, can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. Salaam alaykum,\n\n[From.GetTitledName];Très vertueux [Root.GetTitledFirstName], les Haruriyyah peuvent bien évidemment vous prêter 300 or. La chose que nous demandons en contrepartie est votre aide future lorsque certains besoins se feront sentir. As-salâm 'aleïkoum,\n\n[From.GetTitledName];Euer Hochwohlgeboren, natürlich können wir, die  Haruriyyah, Euch 300 Gold leihen. Als Gegenleistung erbitten wir lediglich Eure künftige Unterstützung in gewissen Angelegenheiten, die sich ergeben könnten. Salaam alaikum,\n\n[From.GetFirstName];;El más recto [Root.GetTitledFirstName], desde luego que nosotros, los Haruriyyah, podemos prestarle 300 oros. Todo lo que le pedimos a cambio es vuestro futuro apoyo en ciertas cuestiones que pueden surgir. Salaam alaykum,\n\n[From.GetTitledName];;;;;;;;;x
EVTDESC_CM_4323;Great [Root.GetTitledFirstName], the Order needs more castles in order to train recruits and generate a supporting income. I am willing to cancel your debt to us if you will simply allow us to build a castle in [FromFrom.GetName]. Peace be with you,\n\n[From.GetTitledName];Noble [Root.GetTitledFirstName], l'Ordre a besoin de davantage de châteaux afin d'entraîner des troupes et de générer le revenu nécessaire à son fonctionnement. Je suis prêt à annuler votre dette si vous me permettez d'édifier un château en [FromFrom.GetName]. Que la paix soit avec vous,\n\n[From.GetTitledName];Euer Edelgeboren, der Orden braucht weitere Burgen zur Ausbildung von Truppen und zum Erwirtschaften von Einnahmen. Ich bin bereit, Euch Eure Schulden zu erlassen, wenn Ihr uns gestattet, in [FromFrom.GetName] eine Burg zu errichten. Der Friede sei mit Euch!\n\n[From.GetFirstName];;Gran [Root.GetTitledFirstName], la Orden necesita más castillos para entrenar a los reclutas y generar ganancias en [FromFrom.GetName]. Estoy dispuesto a saldar vuestra deuda con nosotros simplemente permitiéndonos construir un castillo en [FromFrom.GetName]. La paz esté contigo,\n\n[From.GetTitledName];;;;;;;;;x
EVTDESC_CM_4324;The Haruriyyah have constructed a castle in [Root.GetName]!;Les Haruriyyah ont édifié un château en [Root.GetName] !;Die Haruriyyah haben in [Root.GetName] eine Burg errichtet!;;¡Los haruriyyah han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_CM_4331;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Haruriyyah to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;Notre [GetFromRelation], [From.GetTitledFirstName], a demandé à joindre les Haruriyyah pour combattre les infifèles! Ceci le déshéritera pour toujours mais il ne pourra jamais déshonorer la dynastie par sa décadence.;Mein [GetFromRelation] [From.GetTitledFirstName] hat darum gebeten, sich den Haruriyyah anschließen zu dürfen, um die Ungläubigen zu bekämpfen! Dadurch wird er für immer von der Erbfolge ausgeschlossen und er kann der Dynastie durch seine Dekadenz keine Schande bereiten.;;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Haruriyyah to fight the infidel! This will forever disinherit him and he will never disgrace the dynasty with his decadence.;;;;;;;;;x
